"image.files","Perimeter","Area","Width.Mid.height","Maximum.Width","Height.Mid.width","Maximum.Height","Curved.Height","X"
"XC69_2.tif - 2","41,0664","83,9474","10,2235","10,7696","8,9027","11,8364","12,6239",NA
"XC70_1.tif - 1","41,3627","78,1958","9,6393","10,033","8,0899","11,6713","13,2945",NA
"XC70_1.tif - 2","38,2036","72,2868","9,3726","10,5029","7,2898","11,303","12,1549",NA
"XC70_2 (2).tif - 1","54,672","148,9437","12,7889","13,4874","11,9507","16,1417","18,5996",NA
"XC70_2.tif - 1","35,2299","65,6637","9,7917","10,1219","6,858","9,4742","10,2602",NA
"XC70_2.tif - 2","36,8366","69,7182","9,1313","9,5758","9,144","11,2649","12,063",NA
"XC71.tif - 1","39,3373","80,1189","9,7028","10,5664","8,7884","11,5697","13,5261",NA
"XC71.tif - 2","38,6038","80,9716","9,7663","10,541","9,3218","11,5316","13,2224",NA
"XC71.tif - 3","36,1005","67,4183","9,5123","10,4394","8,2677","10,0584","11,6867",NA
"XC71.tif - 4","34,4253","60,9179","8,509","9,1313","8,4201","10,4775","12,103",NA
"XC72_1.tif - 1","39,0795","78,7832","9,2202","10,1346","9,2964","11,684","12,387",NA
"XC72_1.tif - 2","39,3143","78,8044","9,2202","9,9949","8,5725","12,0523","12,132",NA
"XC72_2.tif - 1","41,5919","89,1677","9,7282","10,3251","9,2583","12,7381","13,7902",NA
"XC72_2.tif - 2","31,7385","56,6828","8,2042","8,4709","8,3947","10,1092","10,116",NA
"XC74.tif - 1","38,6831","77,2761","9,2329","9,8044","9,4869","12,1031","12,3327",NA
"XC74.tif - 2","36,7508","66,4049","7,9121","9,1948","8,5217","11,6332","13,3065",NA
"XC75.tif - 1","37,3294","70,2611","8,6614","9,3218","9,7155","11,557","13,4086",NA
"XC75.tif - 2","33,1571","56,0147","7,3914","8,6233","8,1153","10,6807","11,7885",NA
"XC75.tif - 3","23,5276","28,4538","5,715","6,1595","4,8514","7,239","8,4533",NA
"XC75.tif - 4","41,316","82,564","9,1186","9,4742","10,9474","13,5128","13,865",NA
"XC76.tif - 1","33,1798","56,7678","7,2898","8,5471","8,255","10,3632","11,2753",NA
"XC76.tif - 2","34,1682","59,0179","7,874","9,271","8,0518","10,0203","11,6229",NA
"XC76.tif - 3","36,6916","67,051","7,874","9,1694","8,8392","11,9126","13,0026",NA
"XC76.tif - 4","38,4762","73,1668","9,5758","9,8806","7,9248","10,5283","11,4076",NA
"XC77.tif - 1","45,6837","102,8316","10,7823","11,7729","10,8585","13,208","15,7717",NA
"XC77.tif - 2","32,5279","54,5094","7,3406","7,9629","8,3312","10,0838","11,5941",NA
"XC79.tif - 1","40,1133","79,0777","8,6106","10,3505","9,144","12,3317","14,414",NA
