T_650	Madres	132	155	248	-9	-9	-9	105	-9	-9	196	-9	171	230	247	145	-9
T_650	Madres	-9	-9	-9	-9	-9	-9	113	-9	-9	-9	-9	-9	234	-9	148	-9
T_651	Madres	128	146	248	218	262	356	93	101	97	175	142	155	224	243	119	302
T_651	Madres	132	151	250	-9	264	-9	101	-9	101	188	-9	161	234	245	148	304
T_651	Madres	-9	155	-9	-9	268	-9	105	-9	103	192	-9	163	-9	251	-9	306
T_651	Madres	-9	-9	-9	-9	272	-9	107	-9	-9	198	-9	167	-9	255	-9	308
T_652	Madres	128	141	244	216	255	356	93	101	97	177	142	159	224	239	113	302
T_652	Madres	132	155	248	218	270	358	99	103	99	184	-9	161	230	249	119	304
T_652	Madres	-9	157	252	-9	272	-9	105	-9	101	194	-9	-9	-9	-9	122	306
T_652	Madres	-9	-9	-9	-9	282	-9	-9	-9	-9	196	-9	-9	-9	-9	-9	314
T_653	Madres	135	148	242	218	266	358	91	101	97	186	142	161	226	247	108	304
T_653	Madres	-9	155	248	-9	-9	-9	101	103	103	198	-9	163	-9	255	119	-9
T_653	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
T_653	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
T_654	Madres	126	141	244	218	251	356	93	101	99	186	142	159	224	243	122	302
T_654	Madres	132	151	250	220	272	358	99	-9	-9	194	-9	161	226	249	125	304
T_654	Madres	-9	155	-9	-9	-9	-9	-9	-9	-9	196	-9	171	-9	251	-9	306
T_654	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	198	-9	-9	-9	255	-9	-9
T_655	Madres	132	141	244	218	262	356	93	101	97	181	142	161	224	239	119	306
T_655	Madres	-9	148	248	-9	264	-9	99	105	99	183	146	163	228	243	122	308
T_655	Madres	-9	155	-9	-9	266	-9	109	-9	-9	184	-9	167	230	247	133	318
T_655	Madres	-9	157	-9	-9	268	-9	-9	-9	-9	198	-9	-9	232	-9	148	-9
T_656	Madres	134	151	250	216	251	358	93	101	99	181	142	161	224	249	108	304
T_656	Madres	135	159	-9	218	268	-9	103	-9	101	184	-9	-9	228	255	110	306
T_656	Madres	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
